species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,External,8183051.55828426,1190414.54401659,8109270.2562078,8256832.86036072
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,21873466.8965274,1622798.57757183,21772886.6468464,21974047.1462084
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,Non-infectious,7916508.66035816,1353261.80853188,7832634.16572461,8000383.15499172
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,External,18517395.0001834,20460069.2141368,17249290.0742305,19785499.9261364
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,54173881.0225428,58478979.0399765,50549382.9522208,57798379.0928648
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,Non-infectious,43707963.811142,47185587.3702834,40783424.5462945,46632503.0759894
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,External,8592204.1361236,1249935.27120789,8514733.76894391,8669674.50330329
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,22967140.2411486,1703938.50657792,22861530.9789756,23072749.5033215
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,Non-infectious,8312334.09327455,1420924.89881168,8224265.87391841,8400402.31263068
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,External,19443264.7501926,21483072.6748434,18111754.577942,20774774.9224432
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,56882575.07367,61402927.9919746,53076852.0998319,60688298.047508
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,Non-infectious,45893362.0016991,49544866.7387969,42822595.7736093,48964128.2297889
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,External,9021814.34285846,1312432.0347592,8940470.45732035,9103158.22839658
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,24115497.2530106,1789135.43202824,24004607.5277214,24226386.9782997
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,Non-infectious,8727950.79784158,1491971.14361247,8635479.1675263,8820422.42815686
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,External,20415427.9877022,22557226.3085853,19017342.3068391,21813513.6685653
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,59726703.8273534,64473074.3915726,55730694.7048235,63722712.9498833
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Non-infectious,48188030.101784,52022110.0757362,44963725.5622898,51412334.6412783
