region,species,production_system,agesex_scenario,year,ahle_total_mean,ahle_total_stdev,ahle_dueto_mortality_mean,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_mean,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_mean,ahle_total_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_total_mean,ahle_dueto_ppr_total_stdev,ahle_dueto_ppr_mortality_mean,ahle_dueto_ppr_mortality_stdev,ahle_dueto_ppr_healthcost_mean,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_ppr_productionloss_mean,ahle_dueto_ppr_total_mean_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_total_mean,ahle_dueto_bruc_total_stdev,ahle_dueto_bruc_mortality_mean,ahle_dueto_bruc_mortality_stdev,ahle_dueto_bruc_healthcost_mean,ahle_dueto_bruc_healthcost_stdev,ahle_dueto_bruc_productionloss_mean,ahle_dueto_bruc_total_mean_usd,ahle_dueto_bruc_total_stdev_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_bruc_mortality_stdev_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_bruc_healthcost_stdev_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_bruc_productionloss_stdev,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_bruc_productionloss_stdev_usd,ahle_dueto_otherdisease_total_mean,ahle_dueto_otherdisease_mortality_mean,ahle_dueto_otherdisease_healthcost_mean,ahle_dueto_otherdisease_productionloss_mean,ahle_dueto_otherdisease_total_mean_usd,ahle_dueto_otherdisease_mortality_mean_usd,ahle_dueto_otherdisease_healthcost_mean_usd,ahle_dueto_otherdisease_productionloss_mean_usd,ahle_dueto_otherdisease_total_stdev,ahle_dueto_otherdisease_mortality_stdev,ahle_dueto_otherdisease_healthcost_stdev,ahle_dueto_otherdisease_productionloss_stdev,ahle_dueto_otherdisease_total_stdev_usd,ahle_dueto_otherdisease_mortality_stdev_usd,ahle_dueto_otherdisease_healthcost_stdev_usd,ahle_dueto_otherdisease_productionloss_stdev_usd
Afar,Cattle,Overall,Adult Combined,2021,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Female,2021,73981746484.0986,10703242928.108118,4661253357.909899,5250417330.180678,-9179527.024667904,1046400.3618081961,69329672653.21338,2118172076.8997858,306444648.5791818,133456388.57285227,150324747.78423634,-262819.1242684128,29959.498565181235,1984978507.451202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,11921673222.0822,0.0,,341329537.74436814,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Adult Male,2021,4830035266.805601,5692768339.284927,2278821149.435299,5367439760.4486475,-303533.54015161097,810033.590718938,2551517650.910454,138288784.98817024,162989703.67135444,65244949.68525797,153675218.08190417,-8690.471632619176,23192.07932703387,73052525.77454488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,7824130725.068716,0.0,,224012760.11260894,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Combined,2021,,,2400758365.4399986,5264654273.948459,,,,,,68736135.25941263,150732365.85467196,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Female,2021,5322214368.460199,5483295935.171614,,,-986984.6955512017,801942.9305512969,,152380369.46005705,156992297.30613357,,,-28258.368067768435,22960.435559953217,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Juvenile Male,2021,4161130633.7123013,5509352900.372003,,,-1054891.518224597,799473.3274048283,,119137370.16949387,157738334.5209765,,,-30202.608944113348,22889.728329122998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Combined,2021,,,2339259854.628599,5390300364.140636,,,,,,66975370.82004347,154329740.2404457,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Female,2021,3109934652.088999,5323662868.166148,,,-1549924.6168622077,807431.8604118151,,89040568.16844459,152421841.46871257,,,-44375.90623036678,23117.58916222874,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Neonatal Male,2021,3541309155.5731983,5458593183.956493,,,-1545570.353907302,806079.9037361171,,101391255.62028967,156285032.60459375,,,-44251.23928689928,23078.88127797709,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
Afar,Cattle,Overall,Overall,2021,85467208429.2169,11053464707.211779,9647387350.3954,5543608067.463156,76639113.3389632,569425.032534944,75743181965.48254,2447012445.485484,316471851.618772,276214437.63882947,158719094.53098267,2194255.172224698,16303.213442825581,2168603752.6744304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,12365705510.138264,0.0,,354042630.3449117,0.0,,,,,,,,,,,,,,,,,
