species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Health cost,External,All causes,276968.90978437255,138538.32830820465,5433.786300291424,548504.0332684537,23.8661044574125,11605.115961786114,5804.815300101331,227.67797358750605,22982.553949984722
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,Brucellosis,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,FMD,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,Other diseases,276968.9097843725,0.0,276968.9097843725,276968.9097843725,23.8661044574125,11605.115961786112,0.0,11605.115961786112,11605.115961786112
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,All conditions,276968.90978437255,138538.32830820465,5433.786300291424,548504.0332684537,23.8661044574125,11605.115961786114,5804.815300101331,227.67797358750605,22982.553949984722
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,External,All causes,8183051.55828426,1190414.54401659,5849839.052011743,10516264.064556777,23.8661044574125,342873.3655669018,49878.87931777081,245110.76210407098,440635.9690297326
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,FMD,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,Other diseases,21873466.8965274,1622798.57757183,18692781.684486613,25054152.108568184,23.8661044574125,916507.6326368707,67995.9555388525,783235.5597807198,1049779.7054930215
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Mortality,Non-infectious,All conditions,7916508.66035816,1353261.80853188,5264115.515635675,10568901.805080645,23.8661044574125,331705.10396804183,56702.249457873906,220568.69503060894,442841.5129054747
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,External,All causes,18517395.0001834,20460069.2141368,-21584340.659524728,58619130.65989153,23.8661044574125,775886.7825801432,857285.6643046398,-904393.1194569507,2456166.684617237
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,FMD,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,Other diseases,54173881.0225428,58478979.0399765,-60444917.89581115,168792679.94089675,23.8661044574125,2269908.8206545203,2450294.271707744,-2532667.9518926577,7072485.593201699
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2017,Production loss,Non-infectious,All conditions,43707963.811142,47185587.3702834,-48775787.434613466,136191715.05689746,23.8661044574125,1831382.4063384954,1977096.3231340495,-2043726.387004241,5706491.199681232
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Health cost,External,All causes,290817.3552735911,145465.24472361495,5705.475615305826,575929.2349318764,27.4293865941667,10602.400978789592,5303.262769811647,208.00594995876384,20996.796007620418
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Health cost,Infectious,Brucellosis,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Health cost,Infectious,FMD,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Health cost,Infectious,Other diseases,290817.3552735912,0.0,290817.3552735912,290817.3552735912,27.4293865941667,10602.400978789594,0.0,10602.400978789594,10602.400978789594
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Health cost,Non-infectious,All conditions,290817.3552735911,145465.24472361495,5705.475615305826,575929.2349318764,27.4293865941667,10602.400978789592,5303.262769811647,208.00594995876384,20996.796007620418
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,External,All causes,8592204.1361236,1249935.27120789,6142331.004556135,11042077.267691065,27.4293865941667,313248.1328602102,45569.20246527528,223932.49602827066,402563.76969214977
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,FMD,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,Other diseases,22967140.2411486,1703938.50657792,19627420.768255875,26306859.714041322,27.4293865941667,837318.7698638849,62120.91184497323,715561.7826477374,959075.7570800325
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Mortality,Non-infectious,All conditions,8312334.09327455,1420924.89881168,5527321.2916036565,11097346.894945443,27.4293865941667,303044.84078555007,51803.0140387413,201510.93326961712,404578.74830148305
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,External,All causes,19443264.7501926,21483072.6748434,-22663557.69250046,61550087.19288567,27.4293865941667,708847.9606878093,783213.7478208179,-826250.9850409935,2243946.906416612
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,FMD,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,Other diseases,56882575.07367,61402927.9919746,-63467163.79060021,177232313.9379402,27.4293865941667,2073782.2509587945,2238581.886662858,-2313838.246900407,6461402.748817996
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2018,Production loss,Non-infectious,All conditions,45893362.0016991,49544866.7387969,-51214576.80634282,143001300.80974102,27.4293865941667,1673145.7644575639,1806269.5849470221,-1867142.6220385993,5213434.150953727
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Health cost,External,All causes,305358.2230372707,152738.5069597957,5990.749396071187,604725.6966784702,29.06975,10504.329175079618,5254.207791941647,206.08190287399057,20802.576447285246
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Health cost,Infectious,Brucellosis,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Health cost,Infectious,FMD,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Health cost,Infectious,Other diseases,305358.2230372707,0.0,305358.2230372707,305358.2230372707,29.06975,10504.329175079618,0.0,10504.329175079618,10504.329175079618
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Health cost,Non-infectious,All conditions,305358.2230372707,152738.5069597957,5990.749396071187,604725.6966784702,29.06975,10504.329175079618,5254.207791941647,206.08190287399057,20802.576447285246
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,External,All causes,9021814.34285846,1312432.0347592,6449447.554730428,11594181.130986491,29.06975,310350.5996046908,45147.68908432993,221861.12899940414,398840.07020997745
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,FMD,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,Other diseases,24115497.2530106,1789135.43202824,20608791.80623525,27622202.69978595,29.06975,829573.6032477267,61546.29578954894,708942.8635002107,950204.3429952426
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Mortality,Non-infectious,All conditions,8727950.79784158,1491971.14361247,5803687.35636114,11652214.239322022,29.06975,300241.6875907629,51323.83813457185,199646.96484700212,400836.41033452377
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,External,All causes,20415427.9877022,22557226.3085853,-23796735.57712499,64627591.55252939,29.06975,702291.1441516421,775969.0505967648,-818608.1950180167,2223190.483321301
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,FMD,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,Other diseases,59726703.8273534,64473074.3915726,-66640521.9801289,186093929.63483572,29.06975,2054599.8444208638,2217875.0897951517,-2292435.331577633,6401635.020419361
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Non-infectious,All conditions,48188030.101784,52022110.0757362,-53775305.64665895,150151365.85022694,29.06975,1657669.2301029076,1789561.6603423215,-1849871.6241680423,5165210.084373858
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,External,All causes,320626.13418913423,160375.43230778546,6290.2868658747175,634961.9815123938,34.9271654040404,9179.849852689274,4591.710505348742,180.09726220574007,18179.60244317281
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,Other diseases,320626.1341891343,0.0,320626.1341891343,320626.1341891343,34.9271654040404,9179.849852689276,0.0,9179.849852689276,9179.849852689276
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Non-infectious,All conditions,320626.13418913423,160375.43230778546,6290.2868658747175,634961.9815123938,34.9271654040404,9179.849852689274,4591.710505348742,180.09726220574007,18179.60244317281
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,External,All causes,9472905.05993347,1378053.6364885,6771919.932416011,12173890.18745093,34.9271654040404,271218.8335454682,39455.066580613086,193886.9030474666,348550.76404346986
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,Other diseases,25321272.115475,1878592.20374529,21639231.39613423,29003312.834815767,34.9271654040404,724973.5792342832,53785.99099049627,619553.0368929105,830394.1215756559
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Non-infectious,All conditions,9164348.33764157,1566569.70065995,6093871.724348068,12234824.950935073,34.9271654040404,262384.54313791613,44852.47178056792,174473.698448003,350295.3878278293
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,External,All causes,21436199.3870873,23685087.6240144,-24986572.355980925,67858971.13015553,34.9271654040404,613740.0255391909,678127.9657259128,-715390.7872835984,1942870.8383619804
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,Other diseases,62713039.0187211,67696728.1111506,-69972548.07913406,195398626.11657625,34.9271654040404,1795537.6078548422,1938225.6569644036,-2003384.6797953888,5594459.895505073
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
